am1      -0.180  23.53  23.62  -0.09   1.000  CRV1
am1      -0.092  23.86  23.63   0.23   1.000  CRV1
am1      -0.004  23.39  23.64  -0.25   1.000  CRV1
am1       0.083  23.22  23.66  -0.44   1.000  CRV1
am1       0.134  24.07  23.67   0.40   1.000  CRB1
am1       0.170  23.33  23.68  -0.36   1.000  CRV1
am1       0.236  23.88  23.71   0.18   1.000  CRB1
am1       0.255  23.29  23.72  -0.43   1.000  CRV1
am1       0.334  24.27  23.76   0.51   1.000  CRB1
am1       0.342  23.55  23.77  -0.22   1.000  CRV1
am1       0.430  23.60  23.83  -0.23   1.000  CRV1
am1       0.435  24.07  23.84   0.23   1.000  CRB1
am1       0.517  23.82  23.91  -0.09   1.000  CRV1
am1       0.534  24.00  23.93   0.07   1.000  CRB1
am1       0.604  24.21  24.02   0.19   1.000  CRV1
am1       0.634  24.30  24.06   0.24   1.000  CRB1
am1       0.692  24.52  24.14   0.38   1.000  CRV1
am1       0.734  24.38  24.20   0.18   1.000  CRB1
am1       0.779  24.83  24.27   0.55   0.700  CRV1
am1       0.834  24.23  24.37  -0.13   0.500  CRB1
am1       0.866  24.99  24.42   0.57   0.500  CRV1
am1       0.934  23.83  24.55  -0.72   1.000  CRB1
am1       0.953  24.74  24.59   0.15   0.700  CRV1
am1       1.034  24.20  24.75  -0.55   1.000  CRB1
am1       1.040  24.61  24.77  -0.16   1.000  CRV1
am1       1.127  24.88  24.96  -0.08   1.000  CRV1
am1       1.134  24.86  24.98  -0.12   1.000  CRB1
am1       1.214  25.05  25.19  -0.14   1.000  CRV1
am1       1.234  25.20  25.24  -0.04   1.000  CRB1
am1       1.301  25.61  25.44   0.17   1.000  CRV1
am1       1.334  25.33  25.55  -0.21   1.000  CRB1
am1       1.388  26.03  25.74   0.29   1.000  CRV1
am1       1.434  25.90  25.91  -0.01   1.000  CRB1
am1       1.475  26.37  26.08   0.29   1.000  CRV1
am1       1.534  26.40  26.34   0.05   1.000  CRB1
am1       1.562  27.00  26.48   0.52   1.000  CRV1
am1       1.633  26.94  26.86   0.07   1.000  CRB1
am1       1.649  28.05  26.95   1.10   0.000  CRV1
am1       1.733  27.39  27.48  -0.09   1.000  CRB1
am1       1.736  27.29  27.50  -0.21   1.000  CRV1
am1       1.823  27.79  28.13  -0.34   1.000  CRV1
am1       1.833  27.45  28.21  -0.76   0.500  CRB1
am1       1.910  29.10  28.86   0.24   0.800  CRV1
am1       1.933  29.39  29.07   0.32   0.800  CRB1
arp2      1.195  24.33  24.44  -0.11   0.500  PH-3795-A
arp2      1.202  24.27  24.44  -0.17   1.000  PH-1035-B
arp2      1.544  24.69  24.51   0.17   1.000  PH-3795-A
arp2      1.551  24.64  24.52   0.12   1.000  PH-1035-B
arp2      1.752  24.60  24.75  -0.15   1.000  PH-3795-A
arp2      1.758  24.97  24.76   0.21   1.000  PH-1035-B
arp2      1.894  24.94  25.13  -0.19   1.000  PH-3795-A
arp2      1.900  25.29  25.15   0.13   1.000  PH-1035-B
arp2      2.001  25.59  25.60  -0.01   1.000  PH-3795-A
arp2      2.008  25.63  25.63   0.00   1.000  PH-1035-B
arp2      2.094  26.07  26.12  -0.05   1.000  PH-1035-B
arp2      2.129  26.12  26.35  -0.23   1.000  PH-3795-A
arp2      2.202  26.71  26.85  -0.14   1.000  PH-1035-B
arp2      2.252  27.77  27.21   0.56   0.800  PH-3795-A
arp2      2.360  27.89  27.98  -0.09   1.000  PH-1035-B
arp2      2.502  28.80  28.86  -0.06   0.300  PH-1035-B
ic1276   -0.276  21.15  21.60  -0.44   0.800  LTR-B
ic1276   -0.276  25.11  21.60   3.51   0.000  LTR-A
ic1276   -0.187  20.44  21.60  -1.16   0.400  LTR-B
ic1276   -0.187  23.09  21.60   1.49   0.300  LTR-A
ic1276   -0.102  21.39  21.60  -0.21   1.000  LTR-B
ic1276   -0.102  23.40  21.60   1.80   0.300  LTR-A
ic1276   -0.018  20.90  21.60  -0.70   0.700  LTR-B
ic1276   -0.018  23.43  21.60   1.83   0.300  LTR-A
ic1276    0.072  21.02  21.60  -0.58   0.700  LTR-B
ic1276    0.072  23.55  21.60   1.95   0.300  LTR-A
ic1276    0.158  21.34  21.60  -0.26   1.000  LTR-B
ic1276    0.158  26.30  21.60   4.70   0.000  LTR-A
ic1276    0.246  21.00  21.60  -0.59   0.700  LTR-B
ic1276    0.246  23.05  21.60   1.45   0.400  LTR-A
